CONTRACT_ID,Breast.Cancer.Screening,Colorectal.Cancer.Screening,Cardiovascular.Care...Cholesterol.Screening,Diabetes.Care...Cholesterol.Screening,Glaucoma.Testing,Annual.Flu.Vaccine,Improving.or.Maintaining.Physical.Health,Improving.or.Maintaining.Mental.Health,Monitoring.Physical.Activity,Adult.BMI.Assessment,Care.for.Older.Adults...Medication.Review,Care.for.Older.Adults...Functional.Status.Assessment,Care.for.Older.Adults...Pain.Screening,Osteoporosis.Management.in.Women.who.had.a.Fracture,Diabetes.Care...Eye.Exam,Diabetes.Care...Kidney.Disease.Monitoring,Diabetes.Care...Blood.Sugar.Controlled,Diabetes.Care...Cholesterol.Controlled,Controlling.Blood.Pressure,Rheumatoid.Arthritis.Management,Improving.Bladder.Control,Reducing.the.Risk.of.Falling,Plan.All.Cause.Readmissions,Getting.Needed.Care,Getting.Appointments.and.Care.Quickly,Customer.Service,Overall.Rating.of.Health.Care.Quality,Overall.Rating.of.Plan,Care.Coordination,Complaints.about.the.Health.Plan,Beneficiary.Access.and.Performance.Problems,Members.Choosing.to.Leave.the.Plan,Improvement,Plan.Makes.Timely.Decisions.about.Appeals,Reviewing.Appeals.Decisions,Call.Center...Foreign.Language.Interpreter.and.TTY.TDD.Availability,Enrollment.Timeliness,Call.Center...Pharmacy.Hold.Time,Call.Center...Foreign.Language.Interpreter.and.TTY.TDD.Availability,Appeals.Auto.Forward,Appeals.Upheld,Enrollment.Timeliness_D,Complaints.about.the.Drug.Plan,Beneficiary.Access.and.Performance.Problems,Members.Choosing.to.Leave.the.Plan,Improvement,Getting.Information.From.Drug.Plan,Rating.of.Drug.Plan,Getting.Needed.Prescription.Drugs,MPF.Price.Accuracy,High.Risk.Medication,Diabetes.Treatment,Part.D.Medication.Adherence.for.Oral.Diabetes.Medications,Part.D.Medication.Adherence.for.Hypertension..RAS.antagonists.,Part.D.Medication.Adherence.for.Cholesterol..Statins.,Special Needs Plan (SNP) Care Management,Contract_Type,Year
H0630,86,84,99,92,77,81,69,79,52,96,78,80,44,53,87,99,89,79,88,83,35,57,11,87,82,90,88,90,86,13,100,100,0,95,95,99,92,0.4,95,0.6,0,92,13,100,1,0,88,92,95,99,3.5,88.1,78.9,80.8,79.8,0,MA PD,2013
H0710,69,46,82,82,71,72,67,81,49,39,62,54,54,70,71,89,44,35,47,77,0,78,11,84,74,85,85,86,83,15,12,11,0,97,95,97,0,0.9,87,0,0,0,15,12,11,0,0,84,86,99,8.2,84.2,71.7,72.8,69,0,MA PD,2013
H0712,68,64,90,88,65,63,62,79,45,59,61,31,52,0,60,89,68,47,60,0,0,64,13,81,74,82,84,83,85,32,80,15,0,94,81,84,98,1,86,0,0,98,32,80,15,0,75,82,88,99,5.8,88,65.5,66.8,61.1,0,MA PD,2013
H0752,66,57,92,85,58,66,67,76,46,43,0,0,0,19,58,86,68,46,63,84,35,59,11,83,77,91,86,84,84,16,12,18,0,84,71,94,94,0.9,91,0,0,94,16,12,18,0,0,82,91,99,4.7,85.5,73.2,76.7,72,0,MA PD,2013
H0755,70,61,87,88,71,79,70,80,48,40,0,0,0,12,70,87,71,47,65,78,35,63,12,88,78,86,87,83,88,27,12,17,0,72,84,94,95,0.9,91,2.2,88,95,27,12,17,0,83,81,91,99,4.7,81.8,75.9,78.2,71.6,0,MA PD,2013
H0838,62,37,0,88,68,61,0,0,0,85,98,64,65,0,56,82,60,41,62,0,0,0,80,80,71,83,81,83,76,47,100,15,0,0,0,85,90,0.4,86,0,0,90,47,100,15,0,0,84,92,99,14.8,91.6,70.9,67.3,74.3,0,MA PD,2013
H0901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,94,0,3.2,89,0,0,0,0,40,0,0,0,0,0,98,1.9,88.7,67.7,68.7,64.2,0,PART D,2013
H0913,68,48,89,91,52,59,63,76,50,49,0,0,0,0,49,89,62,43,48,0,0,60,20,78,71,83,82,78,83,10.8,80,23,0,92,93,84,100,1,86,0,0,1,108,80,23,0,0,79,84,99,4,90.8,58.3,60.5,47.5,0,MA PD,2013
H0979,64,38,83,84,67,67,0,0,51,34,0,0,0,0,60,80,51,39,25,68,41,59,90,90,77,91,87,87,87,47,100,80,0,0,0,94,100,0.8,93,0,0,1,47,100,8,0,80,82,93,99,8.8,85,78.4,76.5,68.2,0,MA PD,2013
H1013,78,70,95,94,62,50,66,77,53,73,58,17,8,28,54,93,82,54,54,62,40,69,13,85,74,86,87,88,87,13,40,16,0,85,67,89,88,0.7,89,7,0,88,13,40,16,0,0,90,92,99,7.7,85.7,74.3,71.6,62.9,0,MA PD,2013
H1016,74,73,95,94,76,57,62,76,57,45,0,0,0,22,69,91,84,65,68,69,41,64,14,88,70,91,87,91,84,17,80,70,0,97,87,81,98,0.7,81,0,50,98,17,80,7,0,86,89,92,96,7.6,84.9,73.1,73.5,64,0,MA PD,2013
H1019,78,73,94,93,81,59,66,73,49,77,85,68,66,68,65,92,81,55,66,74,41,60,12,83,73,88,87,89,86,30,67,20,0,83,94,98,96,0.7,97,0.6,0,96,30,67,20,0,0,88,91,97,8.2,89.4,74,72.5,61.9,0,MA PD,2013
H1026,70,54,95,92,0,63,70,70,47,50,0,0,0,14,0,85,81,59,63,63,32,56,14,86,76,90,86,85,85,50,60,16,0,86,84,84,89,1.5,93,3.2,0,89,50,60,16,0,85,85,93,99,4.3,82.9,73.4,72,64.8,0,MA PD,2013
H1032,72,70,94,92,64,61,62,75,53,67,60,38,54,18,48,91,78,52,55,61,38,62,13,81,75,85,84,85,83,40,80,18,0,93,91,84,98,1,86,1.3,0,98,40,80,18,0,0,85,91,99,9.1,86.6,72.4,70.7,67,0,MA PD,2013
H1035,80,78,95,97,78,75,65,76,51,89,0,0,0,39,76,93,91,67,64,77,36,59,13,88,78,93,89,91,87,9,100,50,0,97,83,79,94,0.2,89,0,0,94,9,100,5,0,93,91,94,98,8.4,83.9,78.8,79,74.1,0,MA PD,2013
H1036,82,76,97,97,75,66,67,75,49,87,87,75,72,39,71,95,88,59,66,62,39,62,11,85,75,85,85,88,84,23,67,80,0,98,91,98,97,0.7,97,0.6,98,97,23,67,8,0,83,89,92,97,6.9,89,75.9,73.3,67.8,0,MA PD,2013
H1045,81,68,96,97,79,52,64,73,53,65,73,47,44,32,70,91,84,67,77,63,33,60,13,87,74,92,89,90,86,43,80,12,0,86,71,87,99,0.7,80,0,0,99,43,80,12,0,86,91,93,99,9.2,87.1,80.3,79,68.5,0,MA PD,2013
H1076,73,60,94,91,51,47,67,74,44,66,49,35,21,47,46,87,75,52,58,63,0,60,12,80,74,85,85,86,85,24,40,21,0,0,0,89,0,0.7,89,3.1,0,0,24,40,21,0,0,89,90,99,7.6,86.4,72.4,66.7,64,0,MA PD,2013
